根据您提供的资料，这是一份2019年4月高等教育自学考试《大学语文》（课程代码04729）的真题试卷及答案评分参考。

以下是按照试卷结构整理的全部文字内容：

### **2019年4月高等教育自学考试全国统一命题考试：大学语文**

**注意事项：**
    C. 她第一次意识到这是不光彩的，因为贫穷，同学们才敢一遍又一遍地盘问她
    D. 眼睛里还留着晶莹的泪光，裙子一摆，她飘然走出房门，走下楼梯，来到街上
    E. 虽然不曾会面，却一个在潇湘馆临风洒泪，一个在怡红院对月长吁,

---

### **第二部分 非选择题**

**三、词语解释题：本大题共10小题，每小题1分，共10分。**

26. 颁白者不负戴于道路矣
    颁白者：
27. 与尔三矢，尔其无忘乃父之志
    乃：
28. 其意以为天下事固易易也，及骤尝焉而阻力猝来
    及：
29. 轻则寡谋，无礼则脱
    脱：
30. 为诸君溃围、斩将、刈旗
    刈：
31. 及其无数而且穷也
    穷：
32. 余音袅袅，不绝如缕
    缕：
33. 其士女之问桃叶渡、游雨花台者
    问：
34. 我也哭蒋筑英抱病奔波，客殇成都
    客殇：
35. 蛟何为兮水裔
    水裔：

**四、简析题：本大题共5小题，每小题6分，共30分。**

36. 阅读《五代史伶官传序》中的一段文字，回答问题：
    《书》曰：“满招损，谦得益。”忧劳可以兴国，逸豫可以亡身，自然之理也。故方其盛也，举天下之豪杰，莫能与之争；及其衰也，数十伶人困之，而身死国灭，为天下笑。夫祸患常积于忽微，而智勇多困于所溺，岂独伶人也哉！
    A. 指出这段文字的论点。
    B. 说明这段文字的写作特点。
    C. 作者感叹“岂独伶人也哉”的用意是什么？

37. 阅读《前赤壁赋》中的一段文字，回答问题：
    且夫天地之间，物各有主，苟非吾之所有，虽一毫而莫取。惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色；取之无禁，用之不竭。是造物者之无尽藏也，而吾与子之所共适。
    A. 说明这段文字的思想情感内涵。
    B. 就赋体的“主客对话”而言，这段话出自“主”之口还是“客”之口？表明了他人生观的哪一个方面？
    C. “耳得之而为声，目遇之而成色”中的两个“之”各指什么？

38. 阅读《登高》，回答问题：
    风急天高猿啸哀，渚清沙白鸟飞迥。
    无边落木萧萧下，不尽长江滚滚来。
    万里悲秋常作客，百年多病独登台。
    艰难苦恨繁霜鬓，潦倒新停浊酒杯。
    A. 这首诗作于何处？
    B. 首联对偶有何特点？
    C. 五、六两句的情感内涵是什么？

39. 阅读《一句话》中的一节，回答问题：
    这话叫我今天怎么说？
    你不信铁树开花也可，
    那么有一句话你听着：
    等火山忍不住了缄默，
    不要发抖，伸舌头，顿脚，
    等到青天里一声霹雳
    爆一声
    “咱们的中国！”
    A. 诗歌反映了当时怎样的社会现实？
    B. “火山”象征了什么？
    C. 说明“咱们的中国”的寓意。

40. 阅读《哦，香雪》中的一段文字，回答问题：
    前边又是什么？是隧道，它愣在那里，就像大山的一只黑眼睛。香雪又站住了，但她没有返回去，她想到怀里的铅笔盒，想到同学们惊羡的目光，那些目光好像就在隧道里闪烁。她弯腰拔下一根枯草，将草茎插在小辫里，想告诉她，这样可以“避邪”。然后她就朝隧道跑去。确切地说，是冲去。
    A. 这段描写体现了香雪怎样的心理状态？
    B. 这里描写香雪心理运用了何种方法？
    C. “铅笔盒”对香雪心理变化起到了什么作用？,

**五、作文题：本大题30分。**

41. 当今世界，科技发展迅速，人工智能已经出现在社会生活的许多方面。机器人与棋手对弈并大获全胜，护理机器人在医院看护病人，无人驾驶汽车奔驰在公路上……面对人工智能的飞速发展，有人乐观地认为，人类将由此进入一个新纪元；有人却悲观地感叹，这将导致人类自我生存能力的退化。
    针对这一现象，请自选角度，自拟题目，写一篇不少于800字的文章，除诗歌外，文体不限。

---

### **大学语文试题答案及评分参考 (课程代码 04729)**

**一、单项选择题：本大题共20小题，每小题1分，共20分。**
1. C
2. D
3. A
4. B
5. B
6. D
7. C
8. D
9. C
10. C
11. A
12. B
13. B
14. A
15. D
16. C
17. C
18. B
19. A
20. C,

**二、多项选择题：本大题共5小题，每小题2分，共10分。**
21. AE
22. BCE
23. BC
24. ABD
25. AC

**三、词语解释题：本大题共10小题，每小题1分，共10分。**
26. 须发花白的人；颁，通“斑”
27. 你的
28. 等到
29. 粗略，此指不谨慎、不守纪律约束
30. 割、砍
31. 困窘
32. 线
33. 探访
34. 死在他乡
35. 水边

**四、简析题：本大题共5小题，每小题6分，共30分。**

36.
A. 忧劳可以兴国，逸豫可以亡身（2分）
B. 正反对举，比照阐发（2分）
C. 从点推向面，发人深思（2分）

37.
A. 借助自然景物抒发遗世独立的旷达之情，阐明事物具有变与不变的两重性的哲理（2分）
B. 出自“主”之口；表现了积极乐观的一面（2分）
C. 耳得之：清风；目遇之：明月。（2分）

38.
A. 夔州（或三峡，今四川奉节）（1分）
B. 不仅两句互对，而且句中自对（2分）
C. 概括自己的半生经历和凄苦遭遇，从多方面抒说登高悲歌的缘由（3分）

39.
A. 政治黑暗，民众革命一触即发（2分）
B. 象征了蕴藏着巨大力量的民众（2分）
C. 暗示未来祖国将由人民当家作主，表现诗人对理想中国的向往（2分）

40.
A. 兴奋与恐惧交织（2分）
B. 直接心理描写；“以外显内”运用环境烘托和行为举止描写表现人物心理（2分）
C. 使香雪获得巨大精神满足，成为她战胜黑暗恐惧的精神动力（2分）

**五、作文题：30分。**

41.
**一类卷（26—30分）**
A 内容：中心突出、见解深刻
B 语言：行文流畅、语言准确
C 篇章：结构谨严、层次明晰
【评分参考】以28分为基准分，适当浮动：a、具备B项和另一项条件，而其余一项达到二类卷标准的，获得基准分；b、具备上述三项条件的，酌情加分（其中B项突出的，获得满分）；c、具备上述一项条件，而另两项只达到二类卷标准的，酌情减分。

**二类卷（21—25分）**
A 内容：中心明确、内容充实
B 语言：文从字顺、语言基本准确
C 篇章：结构完整、层次分明
【评分参考】以23分为基准分，适当浮动：a、具备B项和另一项条件，而其余一项达到三类卷标准的，获得基准分；b、具备上述三项条件的，酌情加分（其中B项比较好的，获得本类卷最高分）；c、具备上述一项条件，而另两项只达到三类卷标准的，酌情减分。

**三类卷（16—20分）**
A 内容：中心明确、内容尚充实
B 语言：语言通顺、有个别病句
C 篇章：结构完整、层次清楚
【评分参考】以18分为基准分，适当浮动：a、基本具备上述三项条件的，获得基准分；b、其中B项比较好一些，酌情加分；c、另有某些缺点的，酌情减分。

**四类卷（10—15分）**
A 内容：中心不明确、内容空泛
B 语言：语言不通顺、病句较多
C 篇章：结构不完整、层次不清
【评分参考】以13分为基准分，适当浮动：a、凡属上述情况之一者，评为四类卷，获得基准分；b、另两项稍好一些，酌情加分；c、另两项稍差一点的，酌情减分。

**五类卷（10分以下）**
A 内容：文不对题，内容贫乏
B 语言：文理不通
C 篇章：结构层次混乱
【评分参考】以8分为基准分，适当浮动：a、凡属上述情况之一者，评为五类卷，获得基准分；b、另两项尚可的，酌情加分；c、兼有上述两项以上情况的，酌情减分。,
